ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category,is_accurate,verification_bin
Claude,math_calculation,93.23,527,True,False,False,Moderate,45-54,Bachelors,Low,Intermediate,Low,Low,False,False,10.0,True,Google Search,10.7,80.15,True,Moderate Trust,True,5-15m
Llama,recipe_cooking,84.47,581,False,False,False,Specific,55-64,PhD,Expert,First Time,High,Low,False,True,7.9,True,Asked Expert,44.3,92.33,True,Skeptical,True,30-45m
Claude,general_knowledge,69.82,484,True,True,False,Very Specific,35-44,High School,Medium,Intermediate,Critical,Low,True,False,8.6,True,Consulted Documentation,37.5,67.32,True,Moderate Trust,False,30-45m
Claude,creative_writing,79.61,73,True,True,False,Specific,45-54,Professional,Low,Advanced,High,Low,Neutral,False,8.9,True,Checked Official Source,22.7,73.12,True,Moderate Trust,True,15-30m
Claude,creative_writing,67.71,146,False,True,False,Vague,55-64,Masters,Low,Expert,Low,Low,True,True,9.0,True,Academic Paper,43.7,81.05,True,Moderate Trust,True,30-45m
Mistral,math_calculation,93.41,198,False,True,False,Moderate,18-24,Professional,Expert,Advanced,Medium,Low,False,False,8.2,False,,0.0,100.0,True,Blind Trust,True,
Claude,technical_coding,75.87,285,False,False,True,Very Specific,18-24,High School,Expert,Expert,Low,High,False,True,7.6,False,,0.0,79.04,True,Moderate Trust,True,
Claude,financial_advice,57.32,371,True,False,False,Vague,55-64,Professional,Medium,First Time,Critical,High,Neutral,False,6.4,False,,0.0,55.65,True,Moderate Trust,False,
ChatGPT-3.5,medical_advice,50.17,344,False,False,True,Vague,65+,PhD,Medium,Advanced,Medium,High,Neutral,False,5.3,True,Personal Testing,20.0,41.69,True,Skeptical,False,15-30m
Llama,medical_advice,58.77,63,False,False,True,Vague,65+,Professional,Low,Expert,Medium,Low,False,False,5.6,True,Cross-referenced Multiple AIs,23.5,50.81,True,Skeptical,False,15-30m
Claude,general_knowledge,82.85,331,True,True,True,Specific,45-54,Masters,Expert,First Time,Medium,Medium,Neutral,True,10.0,True,Academic Paper,22.9,68.05,False,Moderate Trust,False,15-30m
Claude,recipe_cooking,76.69,70,True,False,True,Moderate,18-24,Professional,Low,Expert,Low,Medium,Neutral,True,9.9,False,,0.0,62.11,False,Blind Trust,False,
Llama,current_events,77.43,549,False,False,True,Vague,25-34,PhD,High,Advanced,Low,Medium,True,False,9.5,True,Checked Official Source,33.8,73.81,False,Moderate Trust,True,30-45m
Gemini,recipe_cooking,78.83,419,False,True,False,Specific,35-44,High School,Expert,Advanced,Medium,Medium,Neutral,False,7.2,True,Cross-referenced Multiple AIs,41.9,81.22,True,Skeptical,True,30-45m
Gemini,creative_writing,75.0,386,False,True,True,Moderate,45-54,Professional,Medium,Intermediate,Low,Medium,True,False,9.9,False,,0.0,66.21,False,Blind Trust,False,
Gemini,current_events,55.73,698,True,True,False,Moderate,18-24,Bachelors,Low,Beginner,Critical,High,False,True,5.2,False,,0.0,55.92,True,Skeptical,False,
Gemini,factual_historical,79.42,382,False,False,True,Vague,18-24,Professional,Expert,Advanced,High,High,False,False,6.7,True,Asked Expert,30.0,88.58,False,Skeptical,True,15-30m
Claude,opinion_based,47.7,53,False,True,False,Vague,65+,PhD,High,Beginner,Critical,Low,False,True,2.9,True,Academic Paper,29.9,40.41,True,Highly Skeptical,False,15-30m
ChatGPT-3.5,legal_advice,52.94,725,True,False,True,Vague,55-64,PhD,Medium,Intermediate,Critical,Medium,False,True,4.7,True,Personal Testing,36.1,38.72,True,Highly Skeptical,False,30-45m
Gemini,technical_coding,91.49,457,True,True,False,Very Specific,35-44,Masters,Expert,Advanced,Medium,Low,Neutral,True,9.4,False,,0.0,78.01,True,Blind Trust,True,
